Company Name,Employer Website,Employer Phone,Employer Logo,Company Description,Location,City,State,Country,Zip Code,,,,
The Episcopal Academy,www.episcopalacademy.org,484-424-1427,https://bluegreensheet.mysmartjobboard.com/download/278/ea79ebb4851d1d691a7e9d1c8a6afd34,"<p><strong>About Us</strong></p>
<p><span>Located 16 miles outside of Philadelphia, The Episcopal Academy offers competitive salary and benefits; employer retirement plan match; generous paid time off; excellent work/life balance; access to ongoing professional development; complimentary lunch during the school year; and use of campus facilities, including library and fitness center.</span></p>
<p><span>While each employee at Episcopal brings a unique set of competencies and skills to their work, we believe all employees should:</span></p>
<ul>
<li aria-level=""1"">
<p><span>Be student-centered, embrace school life, and show it through actions and interactions with students, colleagues, and parents.</span></p>
</li>
<li aria-level=""1"">
<p><span>Embody and live </span><a href=""https://www.episcopalacademy.org/about-ea/the-stripes""><span>The Stripes</span></a><span>.</span></p>
</li>
<li aria-level=""1"">
<p><span>Consistently maintain high work standards and motivate others to achieve the same standard of excellence.</span></p>
</li>
<li aria-level=""1"">
<p><span>Demonstrate a desire and willingness to constantly grow and learn, both personally and professionally, and see others, especially students, as having the ability to learn and reach success.</span></p>
</li>
<li aria-level=""1"">
<p><span>Demonstrate a belief in and commitment to fostering an inclusive and diverse school community.</span></p>
</li>
<li aria-level=""1"">
<p><span>Foster a positive culture by being optimistic, selfless, flexible, and collaborative.</span></p>
</li>
</ul>
<p><em>The Episcopal Academy does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, sexual orientation, national origin, age, disability and familial affiliation or any other characteristic protected by law. We seek candidates who hope to help foster a school environment where all people are valued and where all perspectives are respected and appreciated.</em></p>","Newtown Square, PA, USA",Newtown Square,Pennsylvania,United States,19073,,,,
Triangle Associates,www.ta-stl.com,314-725.8889,https://bluegreensheet.mysmartjobboard.com/download/277/9148af4d01152fc1c4770342d2ef3b7e,"<p>With decades of experience in everything from universities to independent and international schools, our team is perfectly poised to partner with your team to meet current challenges and discover future opportunities.&nbsp;</p>","St. Louis, MO, USA",St. Louis,Missouri,United States,,,,,
"Resource Group 175, LLC",www.rg175.com,7817189130,https://bluegreensheet.mysmartjobboard.com/download/272/604e5dcc0e932a2157a0d1974da6f7ba,,"23 Bemis Road, Dedham, MA, USA",Dedham,Massachusetts,United States,2026,,,,
Narwhal Talent Partners,www.narwhaltalent.com,6176209268,https://bluegreensheet.mysmartjobboard.com/download/269/632712d40d1c142ea16862a2fb59b3c9,"<p>Narwhal Talent Partners is a boutique executive search and consulting firm serving independent schools and youth development organizations nationwide.&nbsp;</p>
<p>Through its relational approach, Narwhal leverages its combined 50 years of operational and recruiting expertise to help clients achieve organizational alignment and solve their unique business problems by attracting and retaining great talent.</p>
<p></p>","Boston, MA, USA",Boston,Massachusetts,United States,,,,,
Granada Preparatory School,https://gpsschool.org/,(818) 368-7254,https://bluegreensheet.mysmartjobboard.com/download/268/cb16056e3d2da7c0ee2fb79e76e47f2a,"<p>Granada Preparatory School is located in Northridge, California, a neighborhood within the City of Los Angeles.<span>&nbsp; </span>Since opening in August 2020, GPS has provided an exceptional educational experience grounded in the International Baccalaureate (IB) program, a global leader in 21st-century learning.&nbsp;</p>
<p>We offer students daily opportunities to engage in a rigorous, inquiry-based academic curriculum designed to prepare them for future success. Governed by a self-perpetuating Board of Trustees, GPS is a premier college-preparatory school, serving students from preschool through 8th grade with an enrollment of 150 students and 34 teaching and administrative staff members.</p>
<p>Graduates are prepared for admission to very selective secondary schools and later matriculate into colleges/universities of similar reputation.</p>
<p><span>Our mission is to teach our students to think creatively, act responsibly, and build community.</span></p>","Northridge, Los Angeles, CA, USA",Los Angeles,California,United States,,,,,
Warren Whitney,WarrenWhitney.com,8043632604,,"<p>Warren Whitney facilitates executive searches and strategic planning for nonprofits, including independent schools.&nbsp; In addition, we provide fractional support in accounting, finance, and human resources.</p>","Richmond, VA, USA",Richmond,Virginia,United States,,,,,
Episcopal High School,,,,,,,,,,,,,
St. Anne's-Belfield School,www.stab.org,4342965106,https://bluegreensheet.mysmartjobboard.com/download/265/d05fc3bd7f20db5e44a2110b56ccf04d,"<p>Since 1910, St. Anne&rsquo;s-Belfield School has been committed to nurturing the whole student: body, heart, mind, and soul. As the<span>&nbsp;</span><a href=""https://www.stab.org/explore/quick-facts"">largest independent school</a><span>&nbsp;</span>in the college town of Charlottesville, Va., our 900+ students, age 2 through Grade 12, inspire us each day as we aspire to educate the next generation of exemplary citizens and visionary leaders.&nbsp;</p>
<p>As a member of our school community, you'd be joining a team of people who are passionate about their roles and contributing to a community of purpose and belonging. Those who thrive at St. Anne&rsquo;s-Belfield are people who, as outlined in our<span>&nbsp;</span><a href=""https://portrait.stab.org/"">Portrait of a Graduate</a>, pursue knowledge to generate impact, seek to engage diverse perspectives and practices, engage in reflection, demonstrate moral character and integrity, and work to understand and meet the needs of the community.&nbsp;</p>
<p>Our<span>&nbsp;</span><a href=""https://www.stab.org/explore/campus-maps"">two beautiful campuses</a><span>&nbsp;</span>on 55 acres serve as vibrant hubs for curiosity, creativity, and academic excellence. This is perfectly complemented by our location in Charlottesville, one of the top 5 happiest cities in the U.S., as recognized by National Geographic and Outside Magazine. Opportunities abound to connect with nature, enjoy arts and culture, engage with the University of Virginia, only one mile away, and explore American history both within our region or Richmond (one hour by car) and Washington, D.C. (two hours by car).</p>
<p>If you're looking for a&nbsp;<a href=""https://www.stab.org/academics"">dynamic learning environment</a><span>&nbsp;</span>where your contributions help spark each child&rsquo;s potential, we invite you to consider a career with St. Anne&rsquo;s-Belfield. We at St. Anne's-Belfield School believe it is the quality and passion of our people that set us apart. We seek to hire the best teachers,<span>&nbsp;</span><a href=""https://www.stab.org/explore/senior-administration"">administrators</a>, staff members, and coaches to support our student body by offering a competitive benefits package and providing a wonderful working environment.</p>","Charlottesville, VA, USA",Charlottesville,Virginia,United States,,,,,
RG175,https://rg175.com/,4153702388,https://bluegreensheet.mysmartjobboard.com/download/264/fa8e4fd09cc97b311e2080433c76c2bd,"<p>RG175 is dedicated to understanding the unique mission of each of our independent and international school clients and leveraging our many years of meaningful leadership experience to deliver excellence in school leadership, governance for schools, and other non-profit organizations.</p>
<p><span data-sheets-root=""1"">Because of the ever-increasing complexity of the job, successful, long-serving former heads of school have a unique combination of the skills and expertise needed to identify outstanding leaders and educators who have the right combination of experience, personality, and skills to lead a school to the next level. We know the independent school business. Each consultant&rsquo;s life purpose has been to help young people realize their potential and become their best selves. We have done this by teaching, coaching, and leading. Today we do this by helping schools identify, cultivate, and support independent school leaders.</span></p>",,,,,,,,,
RG 175,https://www.rg175.com/,6268405898,https://bluegreensheet.mysmartjobboard.com/download/263/60b20ca1517b2ff017f5a967dbc885e2,"<style type=""text/css""><!--td {border: 1px solid #cccccc;}br {mso-data-placement:same-cell;}--></style>
<p>RG175 is dedicated to understanding the unique mission of each of our independent and international school clients and leveraging our many years of meaningful leadership experience to deliver excellence in school leadership, governance for schools, and other non-profit organizations.</p>
<p><span data-sheets-root=""1"">Because of the ever-increasing complexity of the job, successful, long-serving former heads of school have a unique combination of the skills and expertise needed to identify outstanding leaders and educators who have the right combination of experience, personality, and skills to lead a school to the next level. We know the independent school business. Each consultant&rsquo;s life purpose has been to help young people realize their potential and become their best selves. We have done this by teaching, coaching, and leading. Today we do this by helping schools identify, cultivate, and support independent school leaders.</span></p>","California, USA",,California,United States,,,,,
The Education Group,www.educationgroup.com,2296693555,https://bluegreensheet.mysmartjobboard.com/download/262/9bbd23c2abc7a2f6139cfb05424a32c0,"<div data-block-type=""2"" data-border-radii=""{&quot;topLeft&quot;:{&quot;unit&quot;:&quot;px&quot;,&quot;value&quot;:0.0},&quot;topRight&quot;:{&quot;unit&quot;:&quot;px&quot;,&quot;value&quot;:0.0},&quot;bottomLeft&quot;:{&quot;unit&quot;:&quot;px&quot;,&quot;value&quot;:0.0},&quot;bottomRight&quot;:{&quot;unit&quot;:&quot;px&quot;,&quot;value&quot;:0.0}}"">
<h2><span style=""font-size: 14px;"">The Education Group is a collective of </span><span style=""font-size: 14px;"">former education leaders</span><span style=""font-size: 14px;""> with a uniquely flexible, customized, and hands-on approach that tailors our services to the needs of the school, valuing its rich history, traditions, and mission. We provide personalized, attentive search services designed to find and place the best candidate for your school. TEG also provides board governance training, strategic plan leadership, and executive coaching and consulting.</span></h2>
<p><span style=""font-size: 14px;""></span></p>
<p></p>
</div>",,,,,,,,,
Cypress School of San Francisco,https://www.cypressschoolsf.org/,,https://bluegreensheet.mysmartjobboard.com/download/261/896bc1c7073328bad60d9253eecf7963,"<h2>We are a full day, full year school nestled in the Presidio of San Francisco, offering educational programs for children ages 2 - 5.</h2>","387 Moraga Avenue, San Francisco, CA, USA",San Francisco,California,United States,94129,,,,
ISACS,isacs.org,4088076478,,,"Chicago, IL, USA",Chicago,Illinois,United States,,,,,
Greene Street Friends School,www.greenestreetfriends.org,4106154005,https://bluegreensheet.mysmartjobboard.com/download/256/a5911f4873f42bd2369698fe9c2dc950,"<p><span>At Greene Street Friends School, we seek a dynamic professional workforce that demonstrates enthusiasm for our mission.&nbsp; Greene Street Friends is a Preschool - 8th grade Quaker school that inspires our student body, who represent the diversity of Philadelphia at large, to be world changers and seekers of knowledge, equity, and social justice.&nbsp; Since 1855,&nbsp;Greene Street Friends School has educated children according to the Quaker principles of honesty, respect for the individual, peace and simplicity. That tradition of innovation continues today with an emphasis on hands-on learning, peaceful&nbsp;methods of conflict resolution, cultural understanding, community service, environmental education and the thoughtful incorporation of technology into the curriculum. Strong fundamentals and ethical strength prepare our students for a rapidly changing world and enable them to succeed with enthusiasm for learning and for life.&nbsp;</span></p>","20 West Armat Street, Philadelphia, PA 19144, USA",Philadelphia,Pennsylvania,United States,19144,,,,
Woodlynde School,,5139673766,,,"Wayne, PA, USA",Wayne,Pennsylvania,United States,,,,,
Upper Canada College,https://www.ucc.on.ca/,,https://bluegreensheet.mysmartjobboard.com/download/253/fae06ce2a862cf4daec3cfc9b956d1f6,,,,,,,,,,
Waterford School,https://waterfordschool.org/,801-816-2205,,"<p>Waterford is a secular, independent, non-profit school that provides a liberal arts, college preparatory education for students in Preschool through Grade 12.&nbsp;</p>","1590 East 9400 South, Sandy, UT, USA",Sandy,Utah,United States,84093,,,,
"Deerfield Associates Executive Search, Inc.",www.deerfieldassociates.com,7812372800,,"<p><span>Doug Cooney founded <b>D</b></span><b><span>EERFIELD</span></b><b><span> A</span></b><b><span>SSOCIATES</span></b><b><span> </span>Executive Search, Inc</b><b><span>.</span></b><span> a national retained executive search firm dedicated to finding and placing senior level administrative talent in education. Established in 2001, and located in Wellesley, Massachusetts, the primary functional areas of the firm include college, university, and independent school searches for professionals at the Director level and above. <a href=""http://www.deerfieldassociates.com"">www.deerfieldassociates.com</a></span></p>
<p><span>&nbsp;</span><span>Doug and his firm, which includes experienced recruiters, have successfully conducted <b>600+</b> senior level searches in the education sector serving one-hundred and sixty-one (<b>161</b>) clients. <b>92%</b> of our clients return to us for additional search work.&nbsp; </span></p>
<p><span>Typical searches conducted by <b>D</b></span><b><span>EERFIELD</span></b><b><span> A</span></b><b><span>SSOCIATES</span></b><span> include Vice President of Advancement, Chief Advancement Officer, Director of Development, Director of Advancement, Director of Principal Gifts, Director of Planned Giving, Director of Major Gifts, Campaign Director, Chief Financial Officer, Chief Operating Officer, Business Manager, Controller, Director of Marketing &amp; Communications, and Director of Admission. </span></p>
<p><span>For 20 years prior to founding <b>D</b></span><b><span>EERFIELD</span></b><b><span> A</span></b><b><span>SSOCIATES</span></b><b><span>,</span></b><span> Doug served as Executive Recruiter and Vice President of Shawmut Bank, Connecticut National Bank and more recently as Director of Executive Search for FleetBoston Financial. Earlier in his career Doug served as an Admission Officer for </span><b><span>Vassar</span></b><b><span> College</span></b><span> and as Director of Alumni Relations for the </span><b><span>University</span></b><b><span> of Massachusetts</span></b><b><span>, Amherst</span></b><span>. Since 1982, he has been involved exclusively in the profession of recruitment, talent selection and executive search. </span></p>","Wellesley, MA, USA",Wellesley,Massachusetts,United States,,,,,
OES,www.oes.edu,5034169385,https://bluegreensheet.mysmartjobboard.com/download/250/8a0cef172e0bf81e7fb654bb9def15ee,"<p><span>Oregon Episcopal School offers an inquiry-based education that prepares students for higher education and lifelong learning. We are a community of learners in which excellent faculty engage small groups of students to foster their curiosity and inspire them to cultivate their power to do good work in the world.</span></p>
<div data-use-new=""true"">
<div>
<div data-use-new=""true"">
<div>
<p>Among the woodlands, wetlands, and wildlife of the hills of Southwest Portland lies the unique educational experience that is Oregon Episcopal School. The school occupies a 59-acre campus where 880 students in Pre-K&ndash; Grade 12 share an excellent faculty, a college preparatory curriculum, and a strong sense of community.</p>
<p>Offering a true liberal arts curriculum, OES is dedicated to scholarship and an enriched academic environment of ""learning by doing"" that strives to help each individual reach their&nbsp;fullest potential. Small classes provide intimate learning environments that allow teachers to instill in each student a love for learning and the joy of discovery. Learn more about our<span>&nbsp;</span><a href=""https://www.oes.edu/fs/pages/154"" target=""_blank"" data-page-name=""ACADEMICS"" rel=""noopener"">Academic philosophy</a><span>&nbsp;</span>and<span>&nbsp;</span><a href=""https://www.oes.edu/fs/pages/424"" data-page-name=""Our Approach"">Essential Competencies</a>.</p>
<p>The oldest Episcopal school west of the Rockies, OES values developing the spirit as well as the mind. Though steeped in Episcopal heritage and tradition, the school welcomes students of all beliefs. We provide instruction about all major faiths, and encourage individuals to discover their own spiritual path. Learn more about our<span>&nbsp;</span><a href=""https://www.oes.edu/fs/pages/193"" data-page-name=""Episcopal Tradition"">Episcopal tradition</a>.</p>
</div>
</div>
</div>
<div>
<div data-use-new=""true"">
<div><iframe src=""https://www.youtube.com/embed/igzx8FyP1ro?si=jQxOJFBJPksrhuf-"" width=""560"" height=""315""></iframe></div>
</div>
</div>
</div>
<div data-use-new=""true"">
<div>
<div data-use-new=""true"">
<div>
<h2>The Essentials</h2>
<ul>
<li><strong>Founded:</strong><span>&nbsp;</span>1869</li>
<li><strong>Locations:</strong><span>&nbsp;</span>15 minutes from downtown Portland and 90 minutes from the Cascade Mountains and the Oregon Coast.</li>
<li><strong>Who we are:</strong><span>&nbsp;</span>Independent, co-educational, day and boarding school.</li>
<li><strong>Campus:</strong><span>&nbsp;</span>59 wooded acres with two wetland areas, ropes course, nature trails, greenhouse, gardens, and multiple indoor and outdoor athletic facilities.</li>
<li><strong>Grades:</strong><span>&nbsp;</span>Pre-K to Grade 12</li>
<li><strong>Average Enrollment:</strong><span>&nbsp;</span>870 students, including 60 boarding students from the United States and around the world.</li>
<li><strong>Student-to-Faculty Ratio:</strong><span>&nbsp;</span>7:1</li>
<li><strong>Average Class Size:</strong><span>&nbsp;</span>16</li>
<li><strong>Flexible Tuition:</strong><span>&nbsp;</span>20 percent of our students pay reduced tuition.</li>
<li><strong>Graduates:</strong><span>&nbsp;</span>99 percent attend four-year colleges.</li>
<li><strong>Mascot:</strong><span>&nbsp;</span>Aardvark</li>
</ul>
</div>
</div>
</div>
</div>","6400 Southwest Nicol Road, Portland, OR, USA",Portland,Oregon,United States,97223,,,,
Riverbend School,riverbendschool.org,5085452901,https://bluegreensheet.mysmartjobboard.com/download/249/84a836ba84074d14b42e1b392732edb1,"<p><strong>Riverbend Mission Statement</strong></p>
<p><span>Within a collaborative and respectful community, Riverbend develops curious, self-confident, and independent lifelong learners by using Montessori principles to help each child flourish socially and thrive academically.</span></p>
<p><strong>Riverbend&rsquo;s Start&nbsp;</strong></p>
<p>Riverbend School, founded in 2010, is an independent Montessori school serving toddlers &mdash; 8th grade in South Natick, MA. Accredited by AISNE, our individualized Montessori-based approach cultivates independence and inspires students to achieve their highest potential.</p>
<p><strong>Riverbend Today</strong></p>
<p><span>Riverbend currently serves over 200 students, ages 15 months to 8th grade, and employs 55 staff members who come from over 30 towns. </span><span></span></p>
<p><span>Riverbend attracts families from over 20 Metrowest communities including Natick, Wellesley, Weston, Natick, Needham, Dover, and more. Our talented faculty are highly qualified &mdash; over 46% of faculty hold advanced degrees. And many of our toddler through elementary teachers have been trained through accredited programs and granted American Montessori Society (AMS) or Association of Montessori Internationale (AMI) teaching certificates.</span><span></span></p>
<p><span>Approximately 20% of the school&rsquo;s students and 25% of the school&rsquo;s staff identify as ethnically or racially non-white, and Riverbend provides financial assistance to 20% of its families, which is higher than the national average for independent schools. In addition to the regular school day, after-school enrichments and summer programs are offered to Riverbend students and the community at large. Riverbend also hosts free monthly adult learning sessions for Riverbend families and the greater MetroWest community. Additionally, Riverbend has thriving partnerships with many other groups and nonprofits with aligned missions and similar target demographics.&nbsp;</span></p>
<p><span>In Summer 2024, a generous bequest of property &ndash; including two homes and five acres of park-like gardens &ndash; allowed Riverbend to realize its 2018 Strategic Vision to &ldquo;become a beacon of Montessori excellence&rdquo; by establishing The Sheila and Frank Magullion Education and Retreat Center. The Center and its surrounding properties have significantly enhanced Riverbend&rsquo;s existing outdoor education programs and will soon provide a reflective space for symposia and events for educators. </span><span>Through the Center, Riverbend also will further its commitment to increasing equity and accessibility in teacher education by creating a Teacher Training Fellowship Program to directly serve individuals otherwise unable to access or afford training in the Montessori Method.</span></p>
<p><span>Riverbend is led by a Head of School who directly oversees a six-person senior administrative team that in turn manages 48 faculty and staff. The Head of School reports to the 21-member Board of Directors. The Board has an Executive Committee consisting of the Chair, Vice-Chair, Secretary, Treasurer and Governance Committee Chair, an active Governance Committee, and many other standing and ad hoc committees that meet monthly throughout the year.</span></p>","33 Eliot Street, Natick, MA, USA",Natick,Massachusetts,United States,1760,,,,
John Thomas Dye School,,,,,,,,,,,,,
The Seven Hills School,,9259744988,https://bluegreensheet.mysmartjobboard.com/download/245/7fe1379c1f8fe92cff8b03609b88b54e,,"Walnut Creek, CA, USA",Walnut Creek,California,United States,,,,,
Vanguard Gifted Academy,www.vanguardgiftedacademy.org,2242130087,https://bluegreensheet.mysmartjobboard.com/download/243/8b8149e3dd3d56b930add64d73af7f4e,"<p>Vanguard GIfted Academy is an innovative micro-school designed to serve the unique needs of young, gifted children ranging from ages 5 to 10.&nbsp; At Vanguard, students' learning begins with concepts before focusing on applying foundational skills.&nbsp; Students learn in small mixed-age groups of intellectual peers at the same learning level.&nbsp; They learn at their own pace, which varies depending on the subject matter and depth of their investigations. They commonly complete at least two years of academic learning in a single year.&nbsp; Learning at Vanguard includes a rich STREAM program where students complete projects, presentations, interactive activities, and displays, engaging in collaborative learning and the design process. Their products are shared at a quarterly Showcase, allowing students to present and discuss their learning with community members and their families, as well as recieve mentoring from people with expertise in the field the student is discussing.&nbsp;&nbsp;</p>","Batavia, IL, USA",Batavia,Illinois,United States,,,,,
Educators' Collaborative,www.educatorscollaborative.com,6107727625,,,,,,,,,,,
PAIS,www.paispa.org,6104205167,https://bluegreensheet.mysmartjobboard.com/download/239/9511951d0b32ed7b4e1a9c7a30b0f5b2,"<p><span>PAIS is the state association serving over 120 independent schools across the Commonwealth of Pennsylvania and in Delaware. Our diverse membership includes single sex and coed schools, religiously affiliated schools, schools for children with learning differences, and small and large day and boarding schools. PAIS offers services which strengthen member schools, including a rigorous accreditation process, professional development programs, collaborative dialogues on important school issues, vital communication on governmental affairs as well as advocacy for PAIS member schools. The PAIS accreditation process efficiently ensures compliance with vital standards, while also enabling a school to focus on a plan for its strategic future in such areas as student learning, diversity, equity and inclusion, social and emotional learning, and community engagement. PAIS is governed by an elected Board of Directors, most of whom represent PAIS Member schools.</span></p>","Pennsylvania, USA",,Pennsylvania,United States,,,,,
Friends Meeting School,www.friendsmeetingschool.org,301-798-0288,https://bluegreensheet.mysmartjobboard.com/download/238/73987edfb231535e2be85ab6b5db58f0,"<p>With 100+ students spanning grades K-12, Friends Meeting School was founded by Quaker educator Annette Breiling in 1997.&nbsp; The school is located on 54 acres in Ijamsville, part of Frederick County, Maryland. &nbsp;The campus is ideal for hands-on experiential learning, and the collaborative and dedicated faculty deliver a dynamic program rooted in Quaker values.</p>","3232 Green Valley Road, Ijamsville, MD, USA",,Maryland,United States,21754,,,,
KING SCHOOL,,2035883002,https://bluegreensheet.mysmartjobboard.com/download/237/8c1ef236034b3be0d10909d16447f331,"<p><span>King School is an independent day school in Stamford, CT, educating students in PreK through Grade 12. Students at King engage in an immersive and innovative curriculum that is anchored in an inquiry-based pedagogy that nurtures curiosity, intellectual growth, and character development. </span></p>","Stamford, CT, USA",Stamford,Connecticut,United States,,,,,
